9th,10th,11th,12th
81.30315500685872,80.90718321226795,80.94564348521183,80.91245136186771
83.67613636363636,84.25321888412017,83.7883817427386,84.28795811518324
81.19859813084112,81.4089121887287,80.64033850493654,81.38486312399355
80.63265306122449,81.26271186440678,80.40364188163885,80.66233766233766
83.36919315403424,83.70689655172414,84.28808864265928,84.01369863013699
80.86685962373372,80.6601466992665,81.39613970588235,80.85714285714286
83.67716535433071,83.32456140350877,83.81553398058253,84.6987951807229
81.29028436018957,81.51238591916558,81.41747572815534,80.3059829059829
81.26071428571429,80.77343113284434,80.61602671118531,81.2275641025641
83.80727272727273,83.612,84.3359375,84.59116022099448
80.99312714776632,80.6298076923077,80.86481113320079,80.3764258555133
84.12264150943396,83.44196428571429,84.37378640776699,82.78167115902966
83.72885032537961,84.2541567695962,83.58554216867469,83.83136094674556
83.93977812995246,84.02145214521452,83.76460767946578,84.31767337807607
83.83333333333333,83.8127572016461,84.15632183908046,84.07317073170732
